,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
20,6.69,16.64,0.0,0.0,22.22,25.67,5.65,39.2,3.18,11.49,42.63,3.33,58.13,18.19,71.81,37.4,83.85,88.82,75.46,80.65,96.64,89.95,95.48,38.65,99.22,81.63,62.04,76.66,100.0,98.38,83.22,83.22,91.39,87.0,99.81,84.49,87.59,43.84,98.49,53.11,62.07,89.76,90.39,100.0,96.38,84.48,83.25,91.11,82.33,69.2,48.86,32.21,78.19,77.01,52.56,11.19,66.27,79.1,2.33,2.79,84.62,51.83,6.23,92.19,99.98,79.76,76.63,80.69,68.17,91.19,0.0,40.06,68.31,60.29,44.47,54.52,71.11,71.43,91.06,50.74,80.38,50.75,53.52,32.43,80.86,31.13,88.41,78.6,92.03,74.3,84.64,84.67,78.44,31.43,53.02,84.81,59.68,58.4,48.34,34.6
21,29.16,27.93,4.33,87.59,11.07,62.75,76.66,33.69,20.67,99.22,95.48,98.38,74.3,92.19,99.98,8.82,96.38,3.04,27.41,71.81,7.43,50.74,43.84,2.33,2.79,83.22,81.63,96.64,92.03,80.86,83.85,21.65,19.99,99.81,80.65,89.95,98.49,100.0,100.0,91.19,89.76,89.76,83.25,91.11,87.0,53.52,50.69,80.69,60.29,44.47,0.0,67.21,91.06,2.9,53.61,31.85,0.0,70.8,53.25,11.49,84.62,78.19,84.49,6.23,44.25,88.41,84.48,19.64,77.01,11.83,89.17,72.89,66.03,51.83,84.67,77.58,86.14,48.86,78.6,34.6,79.33,0.0,71.43,61.67,5.16,54.41,76.63,80.39,82.33,78.93,48.34,62.04,59.82,68.17,53.02,53.46,84.64,72.21,82.21,75.39
22,47.03,0.0,0.0,0.0,20.95,3.6,31.18,5.62,72.24,30.41,7.12,3.77,3.79,85.21,39.57,51.83,84.67,89.14,36.97,52.08,77.58,38.48,38.79,4.3,11.91,88.89,78.6,75.12,75.12,75.12,82.09,61.86,76.59,77.01,61.67,43.22,84.49,71.43,25.45,80.86,6.23,98.38,80.65,99.98,52.47,95.48,99.81,99.22,99.22,92.19,81.63,88.82,96.64,89.95,71.81,55.96,83.22,83.22,83.22,21.88,87.59,92.03,96.38,44.47,91.19,80.39,19.64,50.74,100.0,80.69,5.95,62.73,43.84,87.0,98.49,45.01,7.65,87.62,100.0,14.06,91.11,82.33,62.04,3.33,69.2,45.85,84.62,89.76,91.06,46.42,75.39,83.25,83.85,91.39,60.29,6.22,75.4,76.63,14.53,9.35
23,62.6,0.0,43.79,28.9,26.48,12.23,7.84,7.65,22.08,81.48,89.14,23.23,2.45,11.77,5.65,75.12,72.24,82.13,78.6,22.07,1.68,89.71,88.41,83.62,52.08,45.85,77.58,91.27,78.19,18.16,46.46,62.07,84.64,84.49,50.7,89.17,1.62,38.48,12.19,79.1,54.52,86.14,26.56,95.48,78.93,43.2,89.95,92.03,59.82,99.22,96.64,100.0,99.81,92.19,26.69,91.39,5.4,98.49,100.0,98.38,0.0,91.06,4.66,84.03,80.86,16.77,46.42,23.23,80.65,60.29,88.89,81.63,87.62,52.23,99.98,18.38,89.76,83.22,50.74,96.38,84.48,76.59,91.11,87.59,80.69,68.71,45.28,83.25,19.99,62.33,60.68,84.67,61.09,2.78,44.47,53.46,76.24,83.85,53.52,49.48
24,6.0,29.14,29.51,9.96,0.0,0.0,0.0,83.62,0.0,16.07,62.04,50.7,14.81,9.88,37.37,91.27,26.56,89.95,2.15,78.6,87.32,63.61,79.1,98.49,99.22,62.75,95.48,100.0,98.38,92.19,45.85,84.64,87.0,100.0,99.81,84.49,83.25,91.11,96.64,62.33,77.58,86.14,80.39,83.22,81.63,40.06,84.62,87.59,83.85,80.65,81.66,19.64,96.38,53.52,80.86,32.5,70.8,63.2,80.69,99.98,89.17,72.21,0.51,88.82,88.82,53.43,84.48,48.91,84.03,91.19,52.77,45.28,43.84,60.29,44.47,89.76,89.76,91.06,67.85,50.75,88.41,48.86,6.23,11.77,78.93,82.21,76.63,71.43,31.58,52.56,53.46,62.07,26.97,32.68,0.81,79.33,0.0,78.6,71.81,45.73
25,0.0,0.0,0.0,0.0,30.17,37.93,12.14,40.04,68.17,3.04,50.7,31.66,100.0,78.93,14.29,65.32,28.9,99.81,99.22,71.81,0.89,83.85,92.19,92.19,92.19,79.1,98.49,100.0,32.43,80.69,66.27,0.0,80.39,96.38,44.47,60.68,0.0,84.49,67.85,63.2,38.48,84.67,19.64,83.25,99.98,38.79,51.83,84.03,80.86,62.33,89.71,58.4,87.59,98.38,74.3,91.27,84.48,96.64,52.08,39.57,77.58,48.86,83.22,6.77,60.29,11.91,89.76,81.63,88.82,61.09,12.44,91.11,72.24,50.75,53.52,78.19,3.06,7.12,89.14,91.19,88.89,87.62,21.88,85.21,6.48,68.71,8.52,76.59,12.01,63.88,3.14,55.96,61.67,76.66,36.46,66.84,61.86,2.59,1.89,70.8
26,87.83,5.41,29.85,20.63,56.45,52.77,53.43,89.71,78.6,2.79,45.85,91.27,3.51,31.85,12.34,77.58,29.51,83.62,82.13,89.95,88.41,81.48,95.48,77.52,20.51,81.63,38.8,96.64,78.6,92.03,84.64,26.97,48.34,76.66,31.14,47.3,62.07,1.68,72.21,83.22,40.47,46.33,89.14,18.16,31.53,89.17,67.21,22.07,5.16,85.21,79.1,84.49,62.04,16.77,75.46,91.06,50.74,2.49,78.93,92.19,1.76,83.85,43.22,19.71,5.4,59.68,31.51,90.39,100.0,99.81,91.11,87.59,87.59,84.03,98.49,0.0,25.35,18.38,15.92,61.09,0.0,48.86,87.62,18.19,68.17,62.34,9.46,78.19,24.09,11.68,27.79,75.4,89.76,100.0,69.2,30.83,83.25,72.24,91.39,50.75
27,0.26,22.3,73.93,7.03,0.0,40.02,39.32,28.36,80.39,59.05,60.68,27.79,45.01,71.43,62.15,0.0,2.77,48.91,80.65,26.48,77.52,52.23,99.81,71.81,44.47,89.95,98.49,98.38,99.22,92.19,83.22,81.63,87.0,100.0,61.33,62.07,89.76,87.59,43.84,99.98,82.28,84.49,100.0,96.38,80.86,84.62,84.67,91.11,69.2,50.69,75.39,48.34,77.01,67.85,28.37,84.48,29.56,70.8,92.03,53.52,48.86,81.66,83.85,88.82,26.69,73.33,6.4,76.63,78.6,83.25,72.89,32.68,30.03,2.9,14.06,76.24,91.06,0.0,50.75,30.17,51.83,6.23,61.67,90.39,37.37,82.21,66.27,53.49,80.69,91.19,0.0,71.11,19.64,34.6,78.93,61.71,34.45,64.46,52.08,23.8
28,61.94,5.77,0.0,66.27,22.92,5.67,0.0,7.43,3.38,74.3,18.38,62.04,12.14,37.37,68.17,38.79,51.83,58.4,78.93,99.22,95.48,100.0,98.38,99.81,92.19,84.49,89.95,43.84,87.0,98.49,82.28,80.39,0.51,91.39,100.0,30.21,84.48,84.67,91.11,44.47,48.86,71.43,81.63,96.64,22.88,70.8,89.76,89.76,83.22,83.22,83.25,87.59,69.2,53.11,99.98,77.01,88.82,80.86,80.65,71.81,66.9,83.85,3.04,91.06,96.38,24.56,0.0,82.33,53.52,80.69,88.41,34.45,79.1,6.23,50.74,62.07,15.64,67.21,50.75,53.02,89.71,48.34,90.39,82.13,91.19,7.12,22.07,16.07,85.21,13.33,91.27,78.19,89.14,43.12,39.57,63.61,16.39,18.38,78.6,83.62
29,0.0,52.22,44.22,4.92,80.86,77.52,46.42,20.72,49.48,71.81,71.43,6.1,17.45,50.74,52.23,62.15,99.81,80.65,80.65,44.47,45.01,89.95,98.49,98.38,92.19,60.68,84.67,0.89,100.0,99.22,84.49,87.59,87.0,100.0,2.78,38.48,80.39,91.11,84.03,40.04,7.74,84.62,76.24,89.76,62.33,82.21,40.06,78.6,77.01,14.81,80.77,86.14,32.5,66.03,43.84,89.17,84.48,81.66,0.97,22.88,44.48,70.8,83.22,81.63,40.26,79.33,7.02,45.62,0.0,31.66,67.17,61.71,72.89,83.25,96.38,87.83,8.82,92.03,53.52,99.98,5.38,61.09,80.69,74.3,91.19,0.0,44.25,52.56,52.08,53.02,55.4,38.79,48.86,75.39,53.49,31.13,28.53,66.27,78.19,30.17
